bl_no,route,atd,schedule,pri,sheet
241293808,HAM-TAN-SHA,2024-08-04,2024-09-26,40,2024
241296156,HAM-TAN-SHA,2024-08-04,2024-09-26,40,2024
241294663,HAM-TAN-SHA,2024-08-04,2024-09-26,40,2024
241295412,HAM-TAN-SHA,2024-08-04,2024-09-26,40,2024
241294666,HAM-TAN-SHA,2024-08-13,2024-10-08,40,2024
241296160,HAM-TAN-SHA,2024-08-13,2024-10-09,40,2024
241294669,HAM-TAN-SHA,2024-08-13,2024-10-08,40,2024
241296165,HAM-TAN-SHA,2024-08-13,2024-10-09,40,2024
241295419,HAM-SHA,2024-08-13,2024-10-11,40,2024
241295423,HAM-TAN-ALG-SHA,2024-08-19,2024-10-13,40,2024
242367119,HAM-TAN-SHA,2024-08-22,2024-10-10,40,2024
242365937,HAM-TAN-SHA,2024-08-22,2024-10-10,40,2024
242367121,HAM-TAN-SHA,2024-08-27,2024-10-13,40,2024
242365935,HAM-TAN-SHA,2024-08-30,2024-10-13,40,2024
243374104,HAM-TAN-SHA,2024-08-27,2024-10-22,40,2024
242372994,HAM-TAN-SHA,2024-09-03,2024-10-22,40,2024
242365933,HAM-TAN-SHA,2024-09-03,2024-10-22,40,2024
242367124,HAM-TAN-SHA,2024-09-03,2024-10-22,40,2024
242367120,HAM-TAN-MED2-SHA,2024-09-11,2024-11-10,40,2024
242365939,HAM-TAN-SHA,2024-09-11,2024-11-12,40,2024
242365936,HAM-TAN-SHA,2024-10-02,2024-11-26,40,2024
242367122,HAM-BRE-SHA,2024-10-02,2024-11-18,40,2024
242372996,HAM-RTM-SHA,2024-09-27,2024-11-24,40,2024
244356218,HAM-RTM-SHA,2024-09-27,2024-11-24,40,2024
244356216,HAM-TAN-SHA,2024-10-02,2024-11-26,40,2024
243075334,HAM-TAN-SHA,2024-10-11,2024-12-05,40,2024
243075335,HAM-TAN-SHA,2024-10-11,2024-12-05,40,2024
243074752,HAM-TAN-SHA,2024-10-11,2024-12-05,40,2024
243075336,HAM-TAN-SHA,2024-10-11,2024-12-05,40,2024
243074753,HAM-YTN-TPP-SHA,2024-10-11,2024-12-22,50,2025
243075338,HAM-TAN-SHA,2024-10-11,2024-12-05,40,2024
244118271,HAM-TAN-SHA,2024-10-15,2024-12-05,40,2024
244119544,HAM-TAN-SHA,2024-10-15,2024-12-05,40,2024
244118943,HAM-TAN-SHA,2024-10-23,2024-12-21,50,2025
244118945,HAM-TAN-SHA,2024-10-23,2024-12-21,40,2024
244118269,HAM-TAN-SHA,2024-10-23,2024-12-21,40,2024
244119542,HAM-TAN-SHA,2024-10-23,2024-12-21,40,2024
244118944,HAM-TAN-MED2-TAN-SHA,2024-10-31,2024-12-31,50,2025
244118272,HAM-TAN-MED2-TAN-SHA,2024-10-31,2024-12-31,40,2024
244119545,HAM-TAN-MED2-YTN-SHA,2024-10-31,2025-01-16,50,2025
244118946,HAM-TAN-SHA,2024-11-06,2025-01-02,40,2024
244119541,HAM-TAN-SHA,2024-11-18,2025-01-07,50,2025
244118275,HAM-TAN-SHA,2024-11-06,2024-12-31,40,2024
